Accel_X(g),Accel_Y(g),Accel_Z(g),Gyro_X(dps),Gyro_Y(dps),Gyro_Z(dps),Temperature
0.14,0.94,-0.07,-0.02,0.00,0.05,249
0.14,0.94,-0.07,-0.04,0.06,0.03,249
0.14,0.94,-0.07,-0.04,0.02,-0.03,250
0.14,0.94,-0.07,-0.10,-0.07,-0.07,249
0.14,0.94,-0.07,-0.10,-0.05,-0.07,249
0.14,0.94,-0.07,-0.10,-0.03,-0.11,250
0.14,0.94,-0.07,-0.09,-0.04,-0.17,249
0.14,0.94,-0.07,-0.05,-0.05,-0.18,249
0.14,0.94,-0.07,0.00,-0.01,-0.12,249
0.14,0.94,-0.07,0.04,0.07,0.01,249
0.14,0.94,-0.07,0.02,0.05,0.07,249
0.14,0.94,-0.07,0.05,0.04,0.09,249
0.14,0.94,-0.07,0.11,0.05,0.14,249
0.13,0.94,-0.07,0.11,0.03,0.24,249
0.14,0.94,-0.07,0.10,0.01,0.24,249
0.14,0.94,-0.07,0.10,0.06,0.19,250
0.14,0.94,-0.07,0.07,0.01,0.11,249
0.14,0.94,-0.07,0.10,-0.04,0.03,249
0.13,0.94,-0.07,-0.01,-0.01,0.08,250
0.14,0.94,-0.07,-0.16,-0.07,-0.02,250
0.14,0.94,-0.07,-0.16,-0.30,-0.49,249
0.14,0.94,-0.07,0.13,0.07,-0.49,249
0.13,0.94,-0.07,-0.01,0.34,0.16,249
0.14,0.94,-0.07,-0.19,-0.20,0.17,250
0.14,0.94,-0.07,0.38,0.02,-0.02,249
0.13,0.94,-0.07,0.47,0.52,0.23,250
0.14,0.94,-0.07,0.15,0.15,0.44,249
0.14,0.94,-0.07,0.17,-0.04,0.60,250
0.14,0.94,-0.07,0.24,0.30,0.57,249
0.14,0.94,-0.07,0.03,0.21,0.28,249
0.14,0.94,-0.07,-0.19,-0.28,-0.06,249
0.14,0.94,-0.07,-0.16,-0.30,-0.27,249
0.14,0.94,-0.07,-0.39,-0.08,-0.28,249
0.14,0.94,-0.07,-0.54,-0.30,-0.47,249
0.14,0.94,-0.07,-0.14,-0.42,-0.89,249
0.14,0.94,-0.07,-0.20,0.11,-0.68,249
0.14,0.94,-0.06,-0.78,-0.09,-0.65,249
0.14,0.94,-0.06,-0.36,-0.08,-1.04,249
0.13,0.94,-0.07,0.02,0.70,-0.62,249
0.13,0.94,-0.07,-0.34,0.27,-0.11,249
0.14,0.94,-0.07,-0.12,-0.38,0.06,249
0.14,0.94,-0.07,0.25,-0.27,0.22,250
0.13,0.94,-0.07,0.30,0.00,0.41,249
0.14,0.94,-0.07,0.42,-0.04,0.71,249
0.14,0.94,-0.07,0.70,0.07,0.98,249
0.13,0.94,-0.07,0.67,0.42,1.22,249
0.14,0.94,-0.07,0.43,0.43,1.19,249
0.14,0.94,-0.07,0.44,0.16,0.72,249
0.14,0.94,-0.07,0.37,0.17,0.35,249
0.14,0.94,-0.07,0.00,0.18,0.17,249
0.14,0.94,-0.07,-0.21,-0.13,-0.30,249
